title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
Data Juice: 101 Stories of How Organizations Are Squeezing Value from Available Data Assets,[ Douglas B. Laney],28.95, 26.22 - 28.95 ,370,4.4,21,77%,6%,6%,11%,,6 x 0.84 x 9 inches,1.09 pounds,English,Douglas B. Laney ,978-1737169901,/Data-Juice-Organizations-Squeezing-Available/dp/1737169908/ref=sr_1_89?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165031&sprefix=data+science%2Caps%2C586&sr=8-89,https://www.amazon.com/Data-Juice-Organizations-Squeezing-Available/dp/1737169908/ref=sr_1_89?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165031&sprefix=data+science%2Caps%2C586&sr=8-89
Be the Outlier: How to Ace Data Science Interviews,[ Shrilata Murthy],5.99,5.99,212,4.2,58,62%,11%,18%,5%,4%,,,English,New Degree Press ,,/Be-Outlier-Data-Science-Interviews-ebook/dp/B08F9M83LJ/ref=sr_1_85?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165031&sprefix=data+science%2Caps%2C586&sr=8-85,https://www.amazon.com/Be-Outlier-Data-Science-Interviews-ebook/dp/B08F9M83LJ/ref=sr_1_85?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165031&sprefix=data+science%2Caps%2C586&sr=8-85
Text as Data: A New Framework for Machine Learning and the Social Sciences,"[ Justin Grimmer, Margaret E. Roberts, et al.]",35.99, 32.39 - 35.99 ,360,4.7,24,72%,22%,6%,,,7 x 1 x 10 inches,1.55 pounds,English,Princeton University Press , ,/Text-Data-Framework-Learning-Sciences/dp/0691207550/ref=sr_1_86?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165031&sprefix=data+science%2Caps%2C586&sr=8-86,https://www.amazon.com/Text-Data-Framework-Learning-Sciences/dp/0691207550/ref=sr_1_86?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165031&sprefix=data+science%2Caps%2C586&sr=8-86
The Data Science Mindset: 6 Principles To Build Healthy Data-Driven Skills & Organizations,[ Dr. Briit],,,56,,,,,,,,,,English,,,/Data-Science-Mindset-Data-Driven-Organizations-ebook/dp/B09NXY5NVR/ref=sr_1_154?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-154,https://www.amazon.com/Data-Science-Mindset-Data-Driven-Organizations-ebook/dp/B09NXY5NVR/ref=sr_1_154?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-154
Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),,80, 64.17 - 80.00 ,510,4.8,37,84%,9%,7%,,,8.9 x 1.2 x 11 inches,3.73 pounds,English,Chapman and Hall/CRC,978-1138492530,/Data-Science-Machine-Learning-Mathematical/dp/1138492531/ref=sr_1_156?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-156,https://www.amazon.com/Data-Science-Machine-Learning-Mathematical/dp/1138492531/ref=sr_1_156?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-156
Age of Invisible Machines: A Practical Guide to Creating a Hyperautomated Ecosystem of Intelligent Digital Workers,"[ Robb Wilson,  and , Josh Tyson]",24.33,24.33,288,4.8,46,91%,5%,3%,,,6.1 x 1.2 x 9.1 inches,1.05 pounds,English,Wiley,JOSH TYSON,/Age-Invisible-Machines-Hyperautomated-Intelligent/dp/1119899923/ref=sr_1_155?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-155,https://www.amazon.com/Age-Invisible-Machines-Hyperautomated-Intelligent/dp/1119899923/ref=sr_1_155?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-155
The DATA Set Collection #2 (Boxed Set): A Case of the Clones; Invasion of the Insects; Out of Remote Control; Down the Brain Drain,,16.89,16.89,512,4.9,37,89%,7%,4%,,,5.5 x 1.5 x 7.31 inches,1 pounds,English,Little Simon,978-1534465350,/DATA-Set-Collection-Invasion-Insects/dp/1534465359/ref=sr_1_150?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-150,https://www.amazon.com/DATA-Set-Collection-Invasion-Insects/dp/1534465359/ref=sr_1_150?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-150
The Data Science Design Manual (Texts in Computer Science),,59.95, 49.69 - 59.95 ,462,4.8,68,84%,11%,3%,2%,,7.2 x 1.1 x 9.4 inches,22.2 pounds,English,Springer,978-3319554433,/Science-Design-Manual-Texts-Computer/dp/3319554433/ref=sr_1_151?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-151,https://www.amazon.com/Science-Design-Manual-Texts-Computer/dp/3319554433/ref=sr_1_151?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-151
Can We Trust AI? (Johns Hopkins Wavelengths),"[ Rama Chellappa,  and , Eric Niiler]",16.95,16.95,224,,,,,,,,5 x 0.64 x 7 inches,8 ounces,English,Johns Hopkins University Press ,978-1421445304,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01266814HL3DOOE4QS7&qualifier=1671165031&id=314534340739305&widgetName=sp_mtf&url=%2FCan-Trust-Johns-Hopkins-Wavelengths%2Fdp%2F1421445301%2Fref%3Dsr_1_84_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165031%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-84-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01266814HL3DOOE4QS7&qualifier=1671165031&id=314534340739305&widgetName=sp_mtf&url=%2FCan-Trust-Johns-Hopkins-Wavelengths%2Fdp%2F1421445301%2Fref%3Dsr_1_84_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165031%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-84-spons%26psc%3D1
The Basics of Data Literacy: Helping Your Students (And You!) Make Sense of Data - PB343X,"[ Michael Bowen,  and , Anthony Bartley]",287.14,287.14,166,4.6,6,85%,15%,,,,8.55 x 0.45 x 11 inches,,English,National Science Teachers Association - NSTA Press ,978-1938946035,/Basics-Data-Literacy-Helping-Students/dp/1938946030/ref=sr_1_149?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-149,https://www.amazon.com/Basics-Data-Literacy-Helping-Students/dp/1938946030/ref=sr_1_149?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-149
Mathematics for Machine Learning,,48.99,48.99,398,4.7,608,80%,13%,3%,2%,2%,7 x 0.92 x 10 inches,1.76 pounds,English,Cambridge University Press,978-1108455145,/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_148?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-148,https://www.amazon.com/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_148?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-148
The Art of Data Science,"[ Roger Peng,  and , Elizabeth Matsui]",20, 19.00 - 20.00 ,170,4.6,50,74%,18%,5%,3%,,5.98 x 0.43 x 9.02 inches,9.1 ounces,English,Lulu.com,978-1365061462,/Art-Data-Science-Roger-Peng/dp/1365061469/ref=sr_1_147?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-147,https://www.amazon.com/Art-Data-Science-Roger-Peng/dp/1365061469/ref=sr_1_147?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-147
"Data Science for Beginners 2020: Learn How Data Analytics and Machine Learning Are Used to Define New Strategies for Marketing and Business. (The Data Science Bible, Book 1)","[ Ross Zowler, Cyrus Carey, et al.]",,,,4,1,100%,,,,,,,,,,/Data-Science-Beginners-2020-Strategies/dp/B08643MZBP/ref=sr_1_145?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-145,https://www.amazon.com/Data-Science-Beginners-2020-Strategies/dp/B08643MZBP/ref=sr_1_145?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-145
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,[ Alex Gorelik],38.84,38.84,224,4.3,72,59%,21%,10%,5%,4%,7 x 0.4 x 9.1 inches,1.47 pounds,English,O'Reilly Media,978-1491931554,/Enterprise-Big-Data-Lake-Delivering/dp/1491931558/ref=sr_1_146?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-146,https://www.amazon.com/Enterprise-Big-Data-Lake-Delivering/dp/1491931558/ref=sr_1_146?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-146
"Building Data Science Applications with FastAPI: Develop, manage, and deploy efficient machine learning applications with Python",[ François Voron],31.49,31.49,426,4.4,29,69%,6%,19%,6%,,,,English,Packt Publishing,,/Building-Data-Science-Applications-FastAPI-ebook/dp/B09926TFQ5/ref=sr_1_142?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-142,https://www.amazon.com/Building-Data-Science-Applications-FastAPI-ebook/dp/B09926TFQ5/ref=sr_1_142?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-142
Minding the Machines: Building and Leading Data Science and Analytics Teams,[ Jeremy Adamson],24,24,232,4.4,20,74%,7%,12%,7%,,,,English,Wiley,,/Minding-Machines-Building-Leading-Analytics-ebook/dp/B0981HRHNC/ref=sr_1_141?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-141,https://www.amazon.com/Minding-Machines-Building-Leading-Analytics-ebook/dp/B0981HRHNC/ref=sr_1_141?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-141
Making Numbers Count: The Art and Science of Communicating Numbers,"[ Chip Heath,  and , Karla Starr]",11.99,11.99,208,4.4,476,63%,22%,10%,3%,3%,5.5 x 0.7 x 8.38 inches,3.53 ounces,English,Avid Reader Press / Simon & Schuster ,—,/Making-Numbers-Count-Science-Communicating/dp/1982165448/ref=sr_1_139?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-139,https://www.amazon.com/Making-Numbers-Count-Science-Communicating/dp/1982165448/ref=sr_1_139?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-139
Foundations of Statistics for Data Scientists: With R and Python (Chapman & Hall/CRC Texts in Statistical Science),,99.95,99.95,468,3.6,7,49%,17%,17%,17%,,7.1 x 1.2 x 9.9 inches,3 pounds,English,Chapman and Hall/CRC, ,/Foundations-Statistics-Data-Scientists-Statistical/dp/0367748452/ref=sr_1_137?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-137,https://www.amazon.com/Foundations-Statistics-Data-Scientists-Statistical/dp/0367748452/ref=sr_1_137?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-137
"Business Intelligence, Analytics, and Data Science: A Managerial Perspective","[ Ramesh Sharda, Dursun Delen, et al.]",111.99, 34.14 - 111.99 ,512,4.5,280,77%,8%,7%,2%,6%,9.8 x 7.8 x 0.7 inches,2.03 pounds,English,Pearson, ,/Business-Intelligence-Analytics-Data-Science/dp/0134633288/ref=sr_1_138?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-138,https://www.amazon.com/Business-Intelligence-Analytics-Data-Science/dp/0134633288/ref=sr_1_138?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-138
Quantum Machine Learning: An Applied Approach: The Theory and Application of Quantum Machine Learning in Science and Industry,[ Santanu Ganguly],49.48, 44.49 - 49.48 ,572,4.1,10,60%,13%,13%,13%,,7.01 x 1.29 x 10 inches,2.37 pounds,English,Apress,978-1484270974,/Quantum-Machine-Learning-Approach-Application/dp/1484270975/ref=sr_1_140?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-140,https://www.amazon.com/Quantum-Machine-Learning-Approach-Application/dp/1484270975/ref=sr_1_140?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-140
Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,[ Ray Dalio],21.49,21.49,576,4.6,"5,517",75%,16%,5%,1%,2%,6 x 1.9 x 9 inches,1.99 pounds,English,Avid Reader Press / Simon & Schuster,-39%,/Changing-World-Order-Nations-Succeed/dp/1982160276/ref=sr_1_135?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-135,https://www.amazon.com/Changing-World-Order-Nations-Succeed/dp/1982160276/ref=sr_1_135?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-135
Functional Aesthetics for Data Visualization,"[ Vidya Setlur,  and , Bridget Cogley]",36.61, 31.60 - 36.61 ,313,4.8,5,75%,25%,,,,7.5 x 0.75 x 9.25 inches,1.5 pounds,English,Wiley,978-1119810087,/Functional-Aesthetics-Visualization-Vidya-Setlur/dp/1119810086/ref=sr_1_133?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-133,https://www.amazon.com/Functional-Aesthetics-Visualization-Vidya-Setlur/dp/1119810086/ref=sr_1_133?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165042&sprefix=data+science%2Caps%2C586&sr=8-133
Data Science for Executives: Leveraging Machine Intelligence to Drive Business ROI,"[ Nir Kaldero, Derek Perkins, et al.]",,,,4.1,47,54%,20%,17%,4%,6%,,,,,,/Data-Science-Executives-Leveraging-Intelligence/dp/B07PZZL3Z8/ref=sr_1_202?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-202,https://www.amazon.com/Data-Science-Executives-Leveraging-Intelligence/dp/B07PZZL3Z8/ref=sr_1_202?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-202
"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data",[ EMC Education Services],54.99, 38.14 - 54.99 ,432,4.4,194,69%,16%,7%,3%,6%,7.3 x 1 x 9.4 inches,2.41 pounds,English,Wiley,978-1118876138,/Data-Science-Big-Analytics-Discovering/dp/111887613X/ref=sr_1_204?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-204,https://www.amazon.com/Data-Science-Big-Analytics-Discovering/dp/111887613X/ref=sr_1_204?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-204
Emotional Data,[ Abby Jame],4.99,4.99,24,5,3,100%,,,,,6.6 x 0.25 x 10.2 inches,5.3 ounces,English,Silver Sprocket ,978-1945509469,/Emotional-Data-Abby-Jame/dp/1945509465/ref=sr_1_199?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-199,https://www.amazon.com/Emotional-Data-Abby-Jame/dp/1945509465/ref=sr_1_199?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-199
"The ABCs of Data Science: By Real Data Scientists, For Future Data Scientists (Very Young Professionals)","[ Rikin Mathur, Varun Bhartia, et al.]",14.99,14.99,31,4.7,26,82%,9%,9%,,,8.5 x 0.08 x 8.5 inches,3.52 ounces,English,Very Young Professionals,978-1734276305,/ABCs-Data-Science-Scientists-Professionals/dp/1734276304/ref=sr_1_201?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-201,https://www.amazon.com/ABCs-Data-Science-Scientists-Professionals/dp/1734276304/ref=sr_1_201?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-201
AI at the Edge: Solving Real-World Problems with Embedded Machine Learning,"[ Daniel Situnayake,  and , Jenny Plunkett]",69.99,69.99,450,,,,,,,,7 x 0.2 x 9 inches,1.11 pounds,English,O'Reilly Media,978-1098120207,/AI-Edge-Real-World-Problems-Embedded/dp/1098120205/ref=sr_1_198?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-198,https://www.amazon.com/AI-Edge-Real-World-Problems-Embedded/dp/1098120205/ref=sr_1_198?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-198
Cybersecurity Data Science: Best Practices in an Emerging Profession,"[ Scott Mongeau,  and , Andrzej Hajdasinski]",165.8, 83.30 - 165.80 ,415,4,1,100%,,,,,6.14 x 0.94 x 9.21 inches,1.74 pounds,English,Springer, ,/Cybersecurity-Data-Science-Practices-Profession/dp/3030748952/ref=sr_1_196?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-196,https://www.amazon.com/Cybersecurity-Data-Science-Practices-Profession/dp/3030748952/ref=sr_1_196?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-196
Urban Informatics (Chapman & Hall/CRC Data Science Series),,64.95, 60.33 - 64.95 ,340,,,,,,,,7.01 x 0.77 x 10 inches,1.38 pounds,English,Chapman and Hall/CRC, ,/Urban-Informatics-Understand-Communities-Chapman/dp/1032264594/ref=sr_1_195?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-195,https://www.amazon.com/Urban-Informatics-Understand-Communities-Chapman/dp/1032264594/ref=sr_1_195?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-195
Statistical Inference via Data Science: A ModernDive into R and the Tidyverse: A ModernDive into R and the Tidyverse (Chapman & Hall/CRC The R Series),,55.97, 51.41 - 55.97 ,430,4.4,29,73%,11%,6%,5%,5%,7 x 0.93 x 10 inches,1.74 pounds,English,Chapman and Hall/CRC, ,/Statistical-Inference-via-Data-Science/dp/0367409828/ref=sr_1_194?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-194,https://www.amazon.com/Statistical-Inference-via-Data-Science/dp/0367409828/ref=sr_1_194?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-194
Responsible Data Science: Transparency and Fairness in Algorithms,"[ Peter C. Bruce,  and , Grant Fleming]",19.89,19.89,304,3.8,8,69%,31%,,,,7.3 x 0.7 x 9.1 inches,1.12 pounds,English,Wiley,59,/Responsible-Data-Science-Transparency-Algorithms/dp/1119741750/ref=sr_1_192?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-192,https://www.amazon.com/Responsible-Data-Science-Transparency-Algorithms/dp/1119741750/ref=sr_1_192?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-192
"The Science of Hockey: The Math, Technology, and Data Behind the Sport","[ Kevin Snow,  and , John Vogl]",10.99,10.99,,,,,,,,,,,English,Sports Publishing ,,/Science-Hockey-Technology-Behind-Sport-ebook/dp/B0B3YDK7LL/ref=sr_1_188?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-188,https://www.amazon.com/Science-Hockey-Technology-Behind-Sport-ebook/dp/B0B3YDK7LL/ref=sr_1_188?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-188
"Practical Data Science with R, Second Edition","[ Nina Zumel,  and , John Mount]",35.74, 32.98 - 35.74 ,483,4.5,36,71%,14%,11%,5%,,7.38 x 1.2 x 9.25 inches,2.29 pounds,English,Manning,978-1617295874,/Practical-Data-Science-Nina-Zumel/dp/1617295876/ref=sr_1_191?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-191,https://www.amazon.com/Practical-Data-Science-Nina-Zumel/dp/1617295876/ref=sr_1_191?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-191
"Machine Learning For Absolute Beginners: A Plain English Introduction (Second Edition) (AI, Data Science, Python & Statistics for Beginners Book 3)",,,,167,4.5,"1,123",68%,18%,8%,3%,2%,,,English,Scatterplot Press,,/Machine-Learning-Absolute-Beginners-Introduction-ebook/dp/B07335JNW1/ref=sr_1_189?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-189,https://www.amazon.com/Machine-Learning-Absolute-Beginners-Introduction-ebook/dp/B07335JNW1/ref=sr_1_189?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-189
"High-Dimensional Probability: An Introduction with Applications in Data Science (Cambridge Series in Statistical and Probabilistic Mathematics, Series Number 47)",,63.88, 39.70 - 63.88 ,296,4.7,65,87%,5%,4%,4%,,7 x 0.69 x 10 inches,1.57 pounds,English,Cambridge University Press, ,/High-Dimensional-Probability-Introduction-Applications-Probabilistic/dp/1108415199/ref=sr_1_190?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-190,https://www.amazon.com/High-Dimensional-Probability-Introduction-Applications-Probabilistic/dp/1108415199/ref=sr_1_190?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-190
Power and Prediction: The Disruptive Economics of Artificial Intelligence,"[ Ajay Agrawal, Joshua Gans, et al.]",27,27,288,4.4,15,84%,16%,,,,6.5 x 1.25 x 9.75 inches,1.1 pounds,English,Harvard Business Review Press ,978-1647824198,/Power-Prediction-Disruptive-Artificial-Intelligence/dp/1647824192/ref=sr_1_187?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-187,https://www.amazon.com/Power-Prediction-Disruptive-Artificial-Intelligence/dp/1647824192/ref=sr_1_187?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-187
"The Data Science Workshop: Learn how you can build machine learning models and create your own real-world data science projects, 2nd Edition","[ Anthony So, Thomas V. Joseph, et al.]",17.84,17.84,824,4.6,12,81%,11%,8%,,,,,English,Packt Publishing,,/Data-Science-Workshop-learning-real-world-ebook/dp/B08H4G9R34/ref=sr_1_182?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-182,https://www.amazon.com/Data-Science-Workshop-learning-real-world-ebook/dp/B08H4G9R34/ref=sr_1_182?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-182
The Little Book of Data Science Tricks: 100+ Techniques to Elevate Your Data Science Skills,[ Maverick Lin],4.99,4.99,59,5,2,100%,,,,,5.5 x 0.15 x 8.5 inches,4.5 ounces,English,Independently published ,979-8655659063,/Little-Book-Data-Science-Tricks/dp/B08BFZJSMY/ref=sr_1_181?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-181,https://www.amazon.com/Little-Book-Data-Science-Tricks/dp/B08BFZJSMY/ref=sr_1_181?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-181
Invisible Women: Data Bias in a World Designed for Men,[ Caroline Criado Perez],14.99,14.99,432,4.7,"8,819",77%,15%,6%,1%,1%,5.65 x 1.45 x 8.35 inches,15.7 ounces,English,Harry N. Abrams ,978-1419735219,/Invisible-Women-Data-World-Designed/dp/1419735217/ref=sr_1_184?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-184,https://www.amazon.com/Invisible-Women-Data-World-Designed/dp/1419735217/ref=sr_1_184?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165050&sprefix=data+science%2Caps%2C586&sr=8-184
Data Quality Fundamentals: A Practitioner's Guide to Building Trustworthy Data Pipelines,"[ Barr Moses, Lior Gavish, et al.]",46.99, 39.90 - 46.99 ,308,4.6,11,75%,13%,13%,,,7 x 0.75 x 9 inches,1.15 pounds,English,O'Reilly Media,-22%,/Data-Quality-Fundamentals-Practitioners-Trustworthy/dp/1098112040/ref=sr_1_251?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-251,https://www.amazon.com/Data-Quality-Fundamentals-Practitioners-Trustworthy/dp/1098112040/ref=sr_1_251?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-251
Communicating with Data: The Art of Writing for Data Science,"[ Deborah Nolan,  and , Sara Stoudt]",51,51,352,4.6,6,78%,22%,,,,9.1 x 0.8 x 6.1 inches,1.29 pounds,English,Oxford University Press,978-0198862758,/Communicating-Data-Art-Writing-Science/dp/019886275X/ref=sr_1_250?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-250,https://www.amazon.com/Communicating-Data-Art-Writing-Science/dp/019886275X/ref=sr_1_250?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-250
Big Data Science in Finance,"[ Irene Aldridge,  and , Marco Avellaneda]",75.83, 67.41 - 75.83 ,336,4.1,11,56%,20%,12%,12%,,7.3 x 1 x 10.2 inches,1.87 pounds,English,Wiley, ,/Data-Science-Finance-Irene-Aldridge/dp/111960298X/ref=sr_1_252?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-252,https://www.amazon.com/Data-Science-Finance-Irene-Aldridge/dp/111960298X/ref=sr_1_252?crid=1IWIG31DNPO6P&keywords=data+science&qid=1671165060&sprefix=data+science%2Caps%2C586&sr=8-252
